site,terrain,plot_type,Y,X,n_spruce,plot_area_m2
FoxLake,Lowland,Regen,6796967.119,470061.8435,0,50.0144692
FoxLake,Lowland,Regen,6796969.219,469917.2568,0,50.0144692
FoxLake,Lowland,Quick,6796971.456,470053.9571,0,40
FoxLake,Lowland,Regen,6796972.719,469730.0942,0,50.0144692
FoxLake,Lowland,Quick,6796974.524,469924.5268,0,40
FoxLake,Lowland,Regen,6796975.192,469814.5411,3,24.98320142
FoxLake,Lowland,Quick,6796976.274,470045.1943,0,40
FoxLake,Lowland,Quick,6796980.419,469932.6045,0,40
FoxLake,Lowland,Quick,6796981.092,470036.4315,0,40
FoxLake,Lowland,Quick,6796985.91,470027.6687,0,40
FoxLake,Lowland,Quick,6796986.314,469940.6822,0,40
FoxLake,Lowland,Quick,6796990.728,470018.906,0,40
FoxLake,Lowland,Quick,6796991.869,470062.1894,20,40
FoxLake,Lowland,Quick,6796992.209,469948.76,1,40
FoxLake,Lowland,Regen,6796996.399,470008.5921,0,50.0144692
FoxLake,Lowland,Quick,6796998.104,469956.8377,0,40
FoxLake,Lowland,Regen,6796999.43,469964.6114,1,12.56637061
FoxLake,Lowland,Quick,6797001.868,470062.3292,0,40
FoxLake,Lowland,Regen,6797005.464,469782.964,19,50.0144692
FoxLake,Lowland,Quick,6797011.867,470062.4689,0,40
FoxLake,Lowland,Regen,6797019.001,469947.9471,5,50.0144692
FoxLake,Lowland,Quick,6797021.186,469956.6778,0,40
FoxLake,Lowland,Quick,6797021.866,470062.6087,0,40
FoxLake,Lowland,Quick,6797023.614,469966.3787,0,40
FoxLake,Lowland,Quick,6797026.041,469976.0796,0,40
FoxLake,Lowland,Regen,6797026.252,469843.1916,5,9.953822164
FoxLake,Lowland,Regen,6797027.224,469901.6501,73,9.953822164
FoxLake,Lowland,Regen,6797027.344,469787.1051,1,12.56637061
FoxLake,Lowland,Regen,6797028.341,469907.5751,19,12.56637061
FoxLake,Lowland,Quick,6797028.469,469985.7805,0,40
FoxLake,Lowland,Regen,6797029.156,469815.1577,1,50.26548246
FoxLake,Lowland,Regen,6797030.246,469808.8784,2,50.26548246
FoxLake,Lowland,Regen,6797030.893,469902.8992,34,12.56637061
FoxLake,Lowland,Quick,6797030.896,469995.4813,0,40
FoxLake,Lowland,Quick,6797031.865,470062.7484,5,40
FoxLake,Lowland,Regen,6797033.292,470005.0558,7,50.0144692
FoxLake,Lowland,Quick,6797034.461,470013.9796,3,40
FoxLake,Lowland,Quick,6797035.759,470023.8949,9,40
FoxLake,Lowland,Regen,6797036.045,469832.6082,14,50.0144692
FoxLake,Lowland,Quick,6797037.058,470033.8103,4,40
FoxLake,Lowland,Regen,6797037.326,469894.2446,4,12.56637061
FoxLake,Lowland,Quick,6797038.356,470043.7256,3,40
FoxLake,Lowland,Quick,6797039.655,470053.6409,17,40
FoxLake,Lowland,Regen,6797040.864,470062.8742,0,50.0144692
FoxLake,Lowland,Regen,6797046.5,469831.9345,2,50.26548246
FoxLake,Lowland,Regen,6797048.911,469900.0331,7,12.56637061
FoxLake,Lowland,Regen,6797056.36,469715.1159,0,12.56637061
FoxLake,Lowland,Regen,6797067.372,469911.6819,65,12.56637061
FoxLake,Lowland,Regen,6797081.503,469738.0295,0,50.26548246
FoxLake,Lowland,Regen,6797083.011,469893.2772,34,12.56637061
FoxLake,Lowland,Regen,6797084.741,469839.8224,5,12.56637061
FoxLake,Lowland,Regen,6797098.677,469719.3764,0,50.26548246
FoxLake,Lowland,Regen,6797110.731,469725.8497,6,12.56637061
FoxLake,Lowland,Regen,6797131.684,469803.6045,1,12.56637061
FoxLake,Lowland,Regen,6797131.747,469729.2669,3,50.26548246
FoxLake,Lowland,Regen,6797134.824,469807.3876,3,50.0144692
FoxLake,Lowland,Regen,6797138.354,469501.7464,0,12.56637061
FoxLake,Lowland,Regen,6797147.985,469515.1574,0,12.56637061
FoxLake,Lowland,Regen,6797149.672,469814.7888,4,12.56637061
FoxLake,Lowland,Regen,6797151.179,469840.4541,4,12.56637061
FoxLake,Lowland,Regen,6797158.543,469743.3775,4,12.56637061
FoxLake,Lowland,Regen,6797164.004,469670.1426,0,50.26548246
FoxLake,Lowland,Regen,6797168.753,469840.1878,3,12.56637061
FoxLake,Lowland,Regen,6797172.285,469769.4491,11,50.0144692
FoxLake,Lowland,Regen,6797173.068,469828.0926,2,12.56637061
FoxLake,Lowland,Regen,6797173.835,469819.2396,2,12.56637061
FoxLake,Lowland,Quick,6797179.872,469764.6082,0,40
FoxLake,Lowland,Quick,6797188.302,469759.2294,3,40
FoxLake,Lowland,Regen,6797194.074,469578.3366,0,12.56637061
FoxLake,Lowland,Quick,6797196.732,469753.8507,0,40
FoxLake,Lowland,Regen,6797205.033,469596.8366,0,50.26548246
FoxLake,Lowland,Quick,6797205.163,469748.4719,0,40
FoxLake,Lowland,Quick,6797213.593,469743.0931,1,40
FoxLake,Lowland,Regen,6797222.918,469737.1435,0,50.0144692
FoxLake,Lowland,Quick,6797230.958,469733.0985,0,40
FoxLake,Lowland,Quick,6797239.891,469728.6041,5,40
FoxLake,Lowland,Quick,6797248.824,469724.1098,3,40
FoxLake,Lowland,Quick,6797257.757,469719.6154,0,40
FoxLake,Lowland,Quick,6797278.163,469712.4808,3,40
FoxLake,Lowland,Regen,6797280.25,469712.1654,3,50.0144692
FoxLake,Lowland,Quick,6797289.235,469711.65,0,40
FoxLake,Lowland,Quick,6797299.219,469711.0774,0,40
FoxLake,Lowland,Quick,6797309.202,469710.5048,0,40
FoxLake,Lowland,Quick,6797319.186,469709.9322,0,40
FoxLake,Lowland,Quick,6797329.169,469709.3596,1,40
FoxLake,Lowland,Regen,6797336.626,469708.932,1,50.0144692
FoxLake,Lowland,Quick,6797345.581,469708.0321,3,40
FoxLake,Lowland,Quick,6797355.531,469707.0322,0,40
FoxLake,Lowland,Quick,6797365.48,469706.0323,6,40
FoxLake,Lowland,Regen,6797373.322,469592.5676,0,50.0144692
FoxLake,Lowland,Quick,6797374.556,469599.2982,0,40
FoxLake,Lowland,Quick,6797375.43,469705.0324,1,40
FoxLake,Lowland,Quick,6797376.36,469609.1341,0,40
FoxLake,Lowland,Quick,6797378.164,469618.9701,0,40
FoxLake,Lowland,Quick,6797379.969,469628.806,1,40
FoxLake,Lowland,Quick,6797381.773,469638.6419,0,40
FoxLake,Lowland,Quick,6797382.218,469593.9317,0,40
FoxLake,Lowland,Regen,6797383.396,469647.4942,0,50.0144692
FoxLake,Lowland,Quick,6797384.882,469655.0529,1,40
FoxLake,Lowland,Quick,6797385.38,469704.0325,0,40
FoxLake,Lowland,Quick,6797386.811,469664.8652,0,40
FoxLake,Lowland,Quick,6797388.74,469674.6774,0,40
FoxLake,Lowland,Quick,6797390.668,469684.4896,0,40
FoxLake,Lowland,Quick,6797392.102,469595.4474,3,40
FoxLake,Lowland,Quick,6797392.597,469694.3018,0,40
FoxLake,Lowland,Regen,6797394.333,469703.1328,0,50.0144692
FoxLake,Lowland,Quick,6797401.987,469596.9631,0,40
FoxLake,Lowland,Quick,6797411.871,469598.4787,0,40
FoxLake,Lowland,Quick,6797421.756,469599.9944,0,40
FoxLake,Lowland,Regen,6797430.958,469601.4054,5,50.0144692
FoxLake,Lowland,Quick,6798525.89,466798.1999,0,40
FoxLake,Lowland,Quick,6798527.812,466788.3862,1,40
FoxLake,Lowland,Quick,6798529.733,466778.5725,1,40
FoxLake,Lowland,Quick,6798530.459,466814.3081,1,40
FoxLake,Lowland,Quick,6798531.654,466768.7589,0,40
FoxLake,Lowland,Quick,6798533.576,466758.9452,0,40
FoxLake,Lowland,Quick,6798535.497,466749.1315,0,40
FoxLake,Lowland,Quick,6798537.419,466739.3178,0,40
FoxLake,Lowland,Quick,6798537.686,466821.2195,1,40
FoxLake,Lowland,Quick,6798539.34,466729.5042,1,40
FoxLake,Lowland,Quick,6798541.261,466719.6905,4,40
FoxLake,Lowland,Quick,6798543.183,466709.8768,0,40
FoxLake,Lowland,Quick,6798544.913,466828.1309,1,40
FoxLake,Lowland,Regen,6798545.367,466699.7967,5,50.0144692
FoxLake,Lowland,Quick,6798552.14,466835.0423,1,40
FoxLake,Lowland,Quick,6798553.576,466702.886,4,40
FoxLake,Lowland,Quick,6798559.368,466841.9537,0,40
FoxLake,Lowland,Quick,6798563.358,466704.965,0,40
FoxLake,Lowland,Quick,6798566.595,466848.8651,0,40
FoxLake,Lowland,Quick,6798573.139,466707.044,0,40
FoxLake,Lowland,Quick,6798582.921,466709.123,0,40
FoxLake,Lowland,Quick,6798592.702,466711.202,1,40
FoxLake,Lowland,Quick,6798602.484,466713.281,1,40
FoxLake,Lowland,Quick,6798612.265,466715.36,0,40
FoxLake,Lowland,Quick,6798622.047,466717.439,0,40
FoxLake,Lowland,Quick,6798631.828,466719.518,0,40
FoxLake,Lowland,Quick,6798641.61,466721.597,0,40
FoxLake,Lowland,Quick,6798648.046,466722.7865,0,40
FoxLake,Lowland,Regen,6798649.554,466722.9553,1,50.0144692
FoxLake,Lowland,Quick,6798657.656,466725.5534,0,40
FoxLake,Lowland,Quick,6798661.806,467114.8256,0,40
FoxLake,Lowland,Regen,6798666.308,467078.9494,1,50.26548246
FoxLake,Lowland,Quick,6798667.265,466728.3203,0,40
FoxLake,Lowland,Quick,6798667.441,467084.1497,4,40
FoxLake,Lowland,Quick,6798668.269,467094.1154,0,40
FoxLake,Lowland,Quick,6798668.986,467069.9573,1,40
FoxLake,Lowland,Quick,6798669.097,467104.0811,2,40
FoxLake,Lowland,Quick,6798669.15,467121.6126,0,40
FoxLake,Lowland,Regen,6798669.526,466959.451,0,50.26548246
FoxLake,Lowland,Quick,6798669.924,467114.0468,0,40
FoxLake,Lowland,Quick,6798670.959,466967.0131,0,40
FoxLake,Lowland,Regen,6798670.994,467122.7111,2,50.26548246
FoxLake,Lowland,Quick,6798671.201,467060.2057,0,40
FoxLake,Lowland,Quick,6798673.11,466976.7789,0,40
FoxLake,Lowland,Quick,6798673.416,467050.4542,0,40
FoxLake,Lowland,Quick,6798675.262,466986.5447,1,40
FoxLake,Lowland,Quick,6798675.631,467040.7027,0,40
FoxLake,Lowland,Quick,6798676.494,467128.3996,0,40
FoxLake,Lowland,Quick,6798676.875,466731.0872,0,40
FoxLake,Lowland,Quick,6798677.413,466996.3105,0,40
FoxLake,Lowland,Quick,6798677.847,467030.9511,4,40
FoxLake,Lowland,Quick,6798679.565,467006.0763,1,40
FoxLake,Lowland,Quick,6798680.062,467021.1996,0,40
FoxLake,Lowland,Regen,6798681.344,467015.1291,3,50.26548246
FoxLake,Lowland,Quick,6798683.839,467135.1866,0,40
FoxLake,Lowland,Quick,6798686.484,466733.8541,1,40
FoxLake,Lowland,Quick,6798691.183,467141.9736,0,40
FoxLake,Lowland,Quick,6798696.094,466736.621,0,40
FoxLake,Lowland,Quick,6798698.527,467148.7606,0,40
FoxLake,Lowland,Quick,6798705.704,466739.3879,0,40
FoxLake,Lowland,Quick,6798705.871,467155.5476,0,40
FoxLake,Lowland,Quick,6798713.215,467162.3346,1,40
FoxLake,Lowland,Quick,6798715.313,466742.1548,0,40
FoxLake,Lowland,Quick,6798720.559,467169.1216,1,40
FoxLake,Lowland,Quick,6798724.923,466744.9217,0,40
